year,category,share
1971,elected,0.05
1971,running,0.15808170515097691
1975,elected,0.075
1975,running,0.16846430405752438
1979,elected,0.105
1979,running,0.1842818428184282
1983,elected,0.11
1983,running,0.23085106382978723
1987,elected,0.145
1987,running,0.29333333333333333
1991,elected,0.175
1991,running,0.32565404139008197
1995,elected,0.215
1995,running,0.34932956951305577
1999,elected,0.235
1999,running,0.34551845342706505
2003,elected,0.26
2003,running,0.3501410437235543
2007,elected,0.295
2007,running,0.35221754613143413
2011,elected,0.29
2011,running,0.32764603817235394
2015,elected,0.32
2015,running,0.3453009503695882
2019,running,0.4042645778938207
